movie.title,genre,mpaa.rating,total.gross,inflation.adjusted.gross
Snow White and the Seven Dwarfs,Musical,G,184925485,5228953251
Pinocchio,Adventure,G,84300000,2188229052
Fantasia,Musical,G,83320000,2187090808
Song of the South,Adventure,G,65000000,1078510579
Cinderella,Drama,G,85000000,920608730
"20,000 Leagues Under the Sea",Adventure,,28200000,528279994
Lady and the Tramp,Drama,G,93600000,1236035515
Sleeping Beauty,Drama,,9464608,21505832
101 Dalmatians,Comedy,G,153000000,1362870985
The Absent Minded Professor,Comedy,,25381407,310094574
Babes in Toyland,Musical,G,10218316,124841160
Bon Voyage!,Comedy,Not Rated,9230769,109581646
The Sword in the Stone,Adventure,,22182353,153870834
The Jungle Book,Musical,Not Rated,141843000,789612346
Blackbeard's Ghost,Comedy,,21540050,138612686
The Aristocats,Musical,G,55675257,255161499
The Boatniks,Comedy,,18607492,101200742
Bedknobs and Broomsticks,Musical,,17871174,91305448
The Apple Dumpling Gang,Comedy,,31916500,131246872
Freaky Friday,Comedy,,25942000,98067733
The Many Adventures of Winnie the Pooh,,,0,0
The Rescuers,Adventure,,48775599,159743914
Herbie Goes to Monte Carlo,,,28000000,105847527
The Black Hole,,,35841901,120377374
Midnight Madness,,,2900000,9088096
The Last Flight of Noah’s Ark,,,11000000,34472116
The Devil and Max Devlin,,,16000000,48517980
Amy,Drama,,0,0
The Fox and the Hound,Comedy,,43899231,133118889
Condorman,Action,,0,0
Night Crossing,Drama,,4500000,12903059
Tron,Action,,26918576,77184895
Tex,Drama,,7199408,20643199
Trenchcoat,Comedy,,4304286,11519089
Something Wicked This Way Comes,Horror,,5656087,15136765
Never Cry Wolf,Drama,,27668764,70669955
Running Brave,Drama,,1204595,3223725
Splash,Comedy,PG,62599495,157057661
Country,Drama,,8400000,21075000
Baby: Secret of the Lost Legend,Adventure,,14276095,33900697
Return to Oz,Adventure,,10618813,25215934
The Black Cauldron,Adventure,,21288692,50553142
My Science Project,Comedy,,4100000,9736051
The Journey of Natty Gann,Drama,,9468512,22302956
One Magic Christmas,Drama,,13229514,31415432
Down and Out in Beverly Hills,Comedy,R,62134225,141183693
Off Beat,Comedy,,4842778,11003932
Ruthless People,Comedy,R,71624879,162748712
The Great Mouse Detective,Adventure,,23605534,53637367
Flight of the Navigator,Adventure,,18564613,42183197
Tough Guys,Comedy,,21458229,48758184
The Color of Money,Drama,R,52293000,117957323
Outrageous Fortune,Comedy,R,52864741,113976921
Tin Men,Comedy,,25411386,54787202
Ernest Goes to Camp,Comedy,,23509382,50686462
Benji the Hunted,Adventure,,15212539,32798382
Adventures in Babysitting,Comedy,,33790923,72853569
Stakeout,Comedy,R,65673233,141592160
Can't Buy Me Love,Romantic Comedy,,31623833,68181300
Hello Again,Comedy,,20419446,44024529
3 Men and a Baby,Comedy,PG,167780960,353334607
Good Morning Vietnam,Comedy,R,123922370,254414837
Shoot to Kill,Action,,29300000,60097074
D.O.A.,Thriller/Suspense,,12706478,26062188
Return to Snowy River,Adventure,PG,13687027,28073384
Big Business,Comedy,PG,40150487,82352451
Who Framed Roger Rabbit?,Comedy,PG,154112492,316250084
Cocktail,Drama,R,78222753,160442289
The Rescue,Action,,5855392,12009960
Heartbreak Hotel,Comedy,,5509417,11300331
The Good Mother,Drama,,4764606,9772655
Ernest Saves Christmas,Comedy,PG,28202109,57845202
Oliver & Company,Adventure,G,49576671,102254492
Beaches,Drama,PG-13,57041866,120381757
Three Fugitives,Comedy,PG-13,40590000,85757817
New York Stories,Drama,PG,10763469,22740861
Disorganized Crime,Comedy,,7210149,15233465
Dead Poets Society,Drama,PG,95860116,202531517
"Honey, I Shrunk the Kids",Adventure,PG,130724172,276191669
Turner & Hooch,Comedy,PG,71079915,150176361
Cheetah,Adventure,,7882250,16653473
An Innocent Man,Drama,R,19397847,40983414
Gross Anatomy,Drama,PG-13,11346186,23972012
The Little Mermaid,Adventure,G,111543479,223726012
Blaze,Drama,R,19049727,39884640
Stella,Drama,PG-13,20062347,40077147
Where the Heart Is,Comedy,,1106475,2210321
Pretty Woman,Romantic Comedy,R,178406268,356389765
Ernest Goes to Jail,Comedy,PG,25029569,49999822
Spaced Invaders,Comedy,PG,15000000,29964452
Fire Birds,Action,PG-13,14760451,29485923
Dick Tracy,Action,PG,103738726,207231621
Betsy's Wedding,Comedy,R,19740070,39433357
Arachnophobia,Thriller/Suspense,PG-13,53208180,106290270
DuckTales: The Movie - Treasure of th…,Adventure,G,18075331,36107823
Taking Care of Business,Comedy,R,20005435,39963460
Mr. Destiny,Comedy,PG-13,15379253,30722056
The Rescuers Down Under,Adventure,G,27931461,55796728
3 Men and a Little Lady,Comedy,PG,71609321,143108869
Green Card,Romantic Comedy,PG-13,29804169,59679131
White Fang,Adventure,PG,34729091,69540672
Scenes from a Mall,Comedy,,9563393,19149495
Haakon Haakonsen,Adventure,PG,15024232,30084149
The Marrying Man,Romantic Comedy,R,12454768,24939118
Oscar,Comedy,PG,23562716,47181395
One Good Cop,Action,R,11276846,22580472
What About Bob?,Comedy,PG,63710000,127571325
Wild Hearts Can't Be Broken,Drama,,7300000,14617333
The Rocketeer,Action,PG,46573027,93256673
The Doctor,Drama,PG-13,37497480,75084021
Paradise,Drama,PG-13,18634643,37313540
Deceived,Thriller/Suspense,PG-13,28738096,57544453
Ernest Scared Stupid,Comedy,PG,14143280,28320147
Billy Bathgate,Drama,R,15565363,31167691
Beauty and the Beast,Musical,G,218951625,363017667
Father of the Bride,Comedy,PG,89325780,179821881
The Hand That Rocks the Cradle,Thriller/Suspense,R,88036683,178831137
Medicine Man,Drama,PG-13,44948240,91304495
Blame it on the Bellboy,Comedy,PG-13,2891055,5872667
Noises Off...,Comedy,PG-13,2280148,4631720
Straight Talk,Comedy,PG,21202099,43068356
Newsies,,PG,2706352,5497481
Passed Away,,PG-13,4030793,8187848
Encino Man,Comedy,PG,40057130,81369058
Sister Act,Comedy,PG,139605150,283583472
Honey I Blew Up the Kid,Comedy,PG,58662452,119162518
A Stranger Among Us,Drama,PG-13,12282994,24950752
3 Ninjas,Action,PG,29028000,58965304
A Gun in Betty Lou's Handbag,,PG-13,3591460,7295423
Captain Ron,Comedy,PG-13,22518097,45741576
Sarafina!,Drama,PG-13,7306242,14841352
Innocent Blood,Horror,R,4877567,9907922
The Mighty Ducks,Comedy,PG,50752337,103120810
1492: Conquest of Paradise,Adventure,PG-13,7099531,14421454
Consenting Adults,Drama,R,21591728,43859823
Aladdin,Comedy,G,217350219,441969178
The Distinguished Gentleman,Comedy,R,46434570,94349900
The Muppet Christmas Carol,Comedy,G,27281507,55417615
Alive,Adventure,R,36299670,73914543
Aspen Extreme,Romantic Comedy,PG-13,7843388,15970955
Homeward Bound: The Incredible Journey,Adventure,G,41833324,85182343
The Cemetery Club,Comedy,PG-13,5583621,11369541
Swing Kids,Musical,PG-13,5632086,11468231
A Far Off Place,Adventure,PG,12890752,26248558
Born Yesterday,Romantic Comedy,PG,17760754,36165012
The Adventures of Huck Finn,Adventure,PG,24103594,49080505
Bound by Honor,,R,4496583,9156084
Indian Summer,Comedy,R,14717851,29968953
Super Mario Bros.,Action,PG,20844907,42445058
Guilty as Sin,Thriller/Suspense,R,22622537,46064723
Life With Mikey,Comedy,PG,12349549,25146538
What's Love Got to Do With It,Drama,R,39100956,79618610
