Series.Title,Certificate,IMDB.Rating,Meta.score,Director,No.of.Votes,Gross
The Shawshank Redemption,A,9.3,80,Frank Darabont,2343110,"28,341,469"
The Godfather,A,9.2,100,Francis Ford Coppola,1620367,"134,966,411"
The Dark Knight,UA,9,84,Christopher Nolan,2303232,"534,858,444"
The Godfather: Part II,A,9,90,Francis Ford Coppola,1129952,"57,300,000"
12 Angry Men,U,9,96,Sidney Lumet,689845,"4,360,000"
The Lord of the Rings: The Return of the King,U,8.9,94,Peter Jackson,1642758,"377,845,905"
Pulp Fiction,A,8.9,94,Quentin Tarantino,1826188,"107,928,762"
Schindler's List,A,8.9,94,Steven Spielberg,1213505,"96,898,818"
Inception,UA,8.8,74,Christopher Nolan,2067042,"292,576,195"
Fight Club,A,8.8,66,David Fincher,1854740,"37,030,102"
The Lord of the Rings: The Fellowship of the Ring,U,8.8,92,Peter Jackson,1661481,"315,544,750"
Forrest Gump,UA,8.8,82,Robert Zemeckis,1809221,"330,252,182"
"Il buono, il brutto, il cattivo",A,8.8,90,Sergio Leone,688390,"6,100,000"
The Lord of the Rings: The Two Towers,UA,8.7,87,Peter Jackson,1485555,"342,551,365"
The Matrix,A,8.7,73,Lana Wachowski,1676426,"171,479,930"
Goodfellas,A,8.7,90,Martin Scorsese,1020727,"46,836,394"
Star Wars: Episode V - The Empire Strikes Back,UA,8.7,82,Irvin Kershner,1159315,"290,475,067"
One Flew Over the Cuckoo's Nest,A,8.7,83,Milos Forman,918088,"112,000,000"
Hamilton,PG-13,8.6,90,Thomas Kail,55291,
Gisaengchung,A,8.6,96,Bong Joon Ho,552778,"53,367,844"
Soorarai Pottru,U,8.6,,Sudha Kongara,54995,
Interstellar,UA,8.6,74,Christopher Nolan,1512360,"188,020,017"
Cidade de Deus,A,8.6,79,Fernando Meirelles,699256,"7,563,397"
Sen to Chihiro no kamikakushi,U,8.6,96,Hayao Miyazaki,651376,"10,055,859"
Saving Private Ryan,R,8.6,91,Steven Spielberg,1235804,"216,540,909"
The Green Mile,A,8.6,61,Frank Darabont,1147794,"136,801,374"
La vita è bella,U,8.6,59,Roberto Benigni,623629,"57,598,247"
Se7en,A,8.6,65,David Fincher,1445096,"100,125,643"
The Silence of the Lambs,A,8.6,85,Jonathan Demme,1270197,"130,742,922"
Star Wars,UA,8.6,90,George Lucas,1231473,"322,740,140"
Seppuku,,8.6,85,Masaki Kobayashi,42004,
Shichinin no samurai,U,8.6,98,Akira Kurosawa,315744,"269,061"
It's a Wonderful Life,PG,8.6,89,Frank Capra,405801,
Joker,A,8.5,59,Todd Phillips,939252,"335,451,311"
Whiplash,A,8.5,88,Damien Chazelle,717585,"13,092,000"
The Intouchables,UA,8.5,57,Olivier Nakache,760360,"13,182,281"
The Prestige,U,8.5,66,Christopher Nolan,1190259,"53,089,891"
The Departed,A,8.5,85,Martin Scorsese,1189773,"132,384,315"
The Pianist,R,8.5,85,Roman Polanski,729603,"32,572,577"
Gladiator,UA,8.5,67,Ridley Scott,1341460,"187,705,427"
American History X,R,8.5,62,Tony Kaye,1034705,"6,719,864"
The Usual Suspects,A,8.5,77,Bryan Singer,991208,"23,341,568"
Léon,A,8.5,64,Luc Besson,1035236,"19,501,238"
The Lion King,U,8.5,88,Roger Allers,942045,"422,783,777"
Terminator 2: Judgment Day,U,8.5,75,James Cameron,995506,"204,843,350"
Nuovo Cinema Paradiso,U,8.5,80,Giuseppe Tornatore,230763,"11,990,401"
Hotaru no haka,U,8.5,94,Isao Takahata,235231,
